"player","team","G","GS","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","height","weight","college","birth_year","birth_state"
"A.J. Hammons","DAL",22,0,163,17,42,5,10,9,20,8,28,4,1,13,10,21,48,198,99,NA,1993,NA
"Aaron Brooks","IND",65,0,894,121,300,48,128,32,40,18,51,125,25,9,66,93,322,183,73,"University of Oregon",1985,"Washington"
"Aaron Gordon","ORL",80,72,2298,393,865,77,267,156,217,116,289,150,64,40,89,172,1019,206,99,"University of Arizona",1995,"California"
"Aaron Harrison","CHO",5,0,17,0,4,0,2,1,2,0,3,3,0,0,0,2,1,198,95,"University of Kentucky",1994,"Texas"
"Adreian Payne","MIN",18,0,135,23,54,3,15,14,19,9,24,7,8,7,8,32,63,208,107,"Michigan State University",1991,"Ohio"
"Al Horford","BOS",68,68,2193,379,801,86,242,108,135,95,369,337,52,87,116,138,952,208,111,"University of Florida",1986,"Dominican Republic"
"Al Jefferson","IND",66,1,931,235,471,0,1,65,85,75,203,57,19,16,33,125,535,208,131,NA,1985,"Mississippi"
"Al-Farouq Aminu","POR",61,25,1773,183,466,70,212,96,136,77,374,99,60,44,94,102,532,206,99,"Wake Forest University",1990,"Georgia"
"Alan Anderson","LAC",30,0,308,30,80,14,44,12,16,3,21,11,3,0,7,35,86,198,99,"Michigan State University",1982,"Minnesota"
"Alan Williams","PHO",47,0,708,138,267,0,1,70,112,94,198,23,27,32,37,125,346,NA,NA,NA,NA,NA
"Alec Burks","UTA",42,0,653,99,248,25,76,60,78,17,103,30,18,5,35,50,283,198,97,"University of Colorado",1991,"Missouri"
"Alex Abrines","OKC",68,6,1055,134,341,94,247,44,49,18,68,40,37,8,33,114,406,198,86,NA,1993,"Spain"
"Alex Len","PHO",77,34,1560,230,463,3,12,150,208,156,354,44,37,98,102,242,613,216,117,"University of Maryland",1993,"Ukraine"
"Alex Poythress","PHI",6,1,157,25,54,6,19,8,10,11,18,5,3,2,3,14,64,201,107,"University of Kentucky",1993,"Georgia"
"Alexis Ajinca","NOP",39,15,584,89,178,0,4,29,40,46,131,12,20,22,31,77,207,218,112,NA,1988,"France"
"Allen Crabbe","POR",79,7,2254,303,647,134,302,105,124,19,206,93,54,20,62,171,845,198,95,"University of California",1992,"California"
"Alonzo Gee","DEN",13,0,89,3,14,0,3,5,9,4,11,6,5,1,4,14,11,198,102,"University of Alabama",1987,"Florida"
"Amir Johnson","BOS",80,77,1608,213,370,27,66,67,100,117,248,140,52,62,77,211,520,206,108,NA,1987,"California"
"Anderson Varejao","GSW",14,1,92,5,14,0,0,8,11,12,15,10,3,3,8,16,18,208,123,NA,1982,"Brazil"
"Andre Drummond","DET",81,81,2409,483,911,2,7,137,355,345,771,89,124,89,152,237,1105,211,126,"University of Connecticut",1993,"New York"
"Andre Iguodala","GSW",76,0,1998,219,415,64,177,72,102,51,253,262,76,39,58,97,574,198,97,"University of Arizona",1984,"Illinois"
