fips,percent_diff,state,county,votes_dem,votes_gop,total_votes
2013,15.17105455253297,AK,Alaska,93003,130413,246588
2016,15.17105455253297,AK,Alaska,93003,130413,246588
2020,15.17105455253297,AK,Alaska,93003,130413,246588
2050,15.17105455253297,AK,Alaska,93003,130413,246588
2060,15.17105455253297,AK,Alaska,93003,130413,246588
2068,15.17105455253297,AK,Alaska,93003,130413,246588
2070,15.17105455253297,AK,Alaska,93003,130413,246588
2090,15.17105455253297,AK,Alaska,93003,130413,246588
2100,15.17105455253297,AK,Alaska,93003,130413,246588
2105,15.17105455253297,AK,Alaska,93003,130413,246588
2110,15.17105455253297,AK,Alaska,93003,130413,246588
2122,15.17105455253297,AK,Alaska,93003,130413,246588
2130,15.17105455253297,AK,Alaska,93003,130413,246588
2150,15.17105455253297,AK,Alaska,93003,130413,246588
2164,15.17105455253297,AK,Alaska,93003,130413,246588
2170,15.17105455253297,AK,Alaska,93003,130413,246588
2180,15.17105455253297,AK,Alaska,93003,130413,246588
2185,15.17105455253297,AK,Alaska,93003,130413,246588
2188,15.17105455253297,AK,Alaska,93003,130413,246588
2195,15.17105455253297,AK,Alaska,93003,130413,246588
2198,15.17105455253297,AK,Alaska,93003,130413,246588
2220,15.17105455253297,AK,Alaska,93003,130413,246588
2230,15.17105455253297,AK,Alaska,93003,130413,246588
2240,15.17105455253297,AK,Alaska,93003,130413,246588
2261,15.17105455253297,AK,Alaska,93003,130413,246588
2270,15.17105455253297,AK,Alaska,93003,130413,246588
2275,15.17105455253297,AK,Alaska,93003,130413,246588
2282,15.17105455253297,AK,Alaska,93003,130413,246588
2290,15.17105455253297,AK,Alaska,93003,130413,246588
1001,49.47893434978306,AL,Autauga County,5908,18110,24661
1003,57.78616218514189,AL,Baldwin County,18409,72780,94090
1005,5.6111645813282,AL,Barbour County,4848,5431,10390
1007,55.544124371284866,AL,Bibb County,1874,6733,8748
1009,81.38197289631263,AL,Blount County,2150,22808,25384
1011,-50.86151882578175,AL,Bullock County,3530,1139,4701
1013,13.529073114565342,AL,Butler County,3716,4891,8685
1015,41.3838230327592,AL,Calhoun County,13197,32803,47376
1017,14.806212803019307,AL,Chambers County,5763,7803,13778
1019,69.36113491383415,AL,Cherokee County,1524,8809,10503
1021,66.60640920295809,AL,Chilton County,2909,15068,18255
1023,13.662630709961476,AL,Choctaw County,3109,4102,7268
1025,10.799319727891156,AL,Clarke County,5712,7109,12936
